Project_Type,Hours_Estimated,Team_Size,Company_Size,Experience_Required,Project_Cost
Data Science,148,5,Enterprise,Mid-Level,17873.02
Mobile App,363,2,Mid-Market,Senior,40977.3
Mobile App,329,5,Mid-Market,Junior,9880.16
SEO,474,2,Enterprise,Mid-Level,23316.87
SEO,108,5,Mid-Market,Senior,9213.13
SEO,232,5,Mid-Market,Mid-Level,10960.8
Data Science,162,2,Mid-Market,Mid-Level,12218.12
SEO,84,4,Enterprise,Junior,3839.37
Web Development,95,5,Startup,Junior,3579.03
UI/UX Design,218,3,Enterprise,Junior,6788.16
Web Development,162,4,Startup,Mid-Level,7599.35
Web Development,424,2,Mid-Market,Junior,8882.21
SEO,422,4,Startup,Mid-Level,15118.91
UI/UX Design,335,1,Enterprise,Mid-Level,20724.9
UI/UX Design,112,1,Enterprise,Junior,3301.37
UI/UX Design,492,5,Mid-Market,Senior,36087.08
Data Science,436,5,Startup,Senior,39852.27
SEO,324,3,Mid-Market,Senior,16002.25
UI/UX Design,243,4,Mid-Market,Mid-Level,12021.12
Data Science,310,1,Enterprise,Mid-Level,29277.57
Mobile App,447,5,Startup,Mid-Level,21613.7
Mobile App,121,4,Startup,Junior,4540.13
Data Science,493,5,Startup,Mid-Level,25607.39
Data Science,286,5,Startup,Junior,9246.46
SEO,374,1,Mid-Market,Junior,6334.22
SEO,475,1,Mid-Market,Senior,30565.27
Mobile App,129,5,Enterprise,Senior,20479.48
UI/UX Design,481,2,Mid-Market,Senior,35268.91
Mobile App,349,5,Mid-Market,Junior,10629.08
UI/UX Design,469,5,Enterprise,Junior,12446.62
UI/UX Design,449,3,Enterprise,Junior,13402.49
SEO,284,3,Enterprise,Mid-Level,12888.97
Web Development,22,3,Mid-Market,Junior,1915.67
Web Development,104,2,Mid-Market,Senior,10729.36
Data Science,301,2,Enterprise,Senior,50154.68
SEO,347,5,Enterprise,Junior,9703.04
UI/UX Design,323,3,Enterprise,Junior,9074.6
Web Development,469,2,Mid-Market,Senior,34969.19
UI/UX Design,473,1,Mid-Market,Junior,8955.66
Web Development,431,5,Startup,Senior,29118.93
Web Development,136,4,Mid-Market,Mid-Level,8229.93
Web Development,240,5,Mid-Market,Senior,18808.02
SEO,173,4,Mid-Market,Mid-Level,8475.78
Mobile App,172,3,Enterprise,Junior,7411.96
UI/UX Design,31,4,Mid-Market,Junior,2546.63
SEO,152,3,Enterprise,Mid-Level,9073.92
SEO,323,1,Startup,Junior,4762.71
SEO,312,4,Startup,Mid-Level,10439.51
SEO,482,5,Enterprise,Junior,11464.36
SEO,319,3,Enterprise,Senior,25603.32
Data Science,247,5,Enterprise,Junior,12415.14
UI/UX Design,290,2,Mid-Market,Senior,21762.77
SEO,62,3,Startup,Senior,5079.17
UI/UX Design,451,4,Enterprise,Mid-Level,27623.08
Data Science,362,3,Mid-Market,Junior,13216.62
Data Science,345,5,Startup,Mid-Level,21620.12
UI/UX Design,321,1,Mid-Market,Junior,5722.04
Web Development,383,3,Startup,Senior,26809.47
Mobile App,398,4,Mid-Market,Senior,40451.97
Web Development,446,2,Startup,Junior,7323.65
Web Development,40,1,Startup,Junior,1217.44
Web Development,426,2,Mid-Market,Mid-Level,22283.09
SEO,126,3,Enterprise,Junior,3820.94
Data Science,355,5,Startup,Junior,10476.6
Web Development,322,5,Enterprise,Junior,10411.58
Data Science,136,4,Mid-Market,Mid-Level,11739.84
UI/UX Design,143,5,Enterprise,Junior,6011.74
Mobile App,418,1,Enterprise,Senior,52898.06
UI/UX Design,300,5,Enterprise,Mid-Level,18727.56
UI/UX Design,311,4,Enterprise,Mid-Level,16265.76
SEO,222,3,Enterprise,Senior,20674.79
Mobile App,70,3,Startup,Senior,6821.76
UI/UX Design,290,5,Startup,Senior,18069.73
UI/UX Design,343,2,Startup,Junior,5182.26
Mobile App,296,3,Mid-Market,Senior,29992.61
Mobile App,160,5,Enterprise,Junior,7670.19
UI/UX Design,489,4,Startup,Mid-Level,15146.26
Mobile App,294,5,Mid-Market,Mid-Level,18405.35
UI/UX Design,309,3,Startup,Senior,19515.97
UI/UX Design,353,4,Startup,Junior,6801.47
SEO,400,5,Enterprise,Senior,37044.1
Web Development,471,1,Mid-Market,Senior,37680.13
UI/UX Design,392,4,Enterprise,Junior,11432.55
Data Science,71,1,Enterprise,Senior,12167.73
Web Development,46,2,Startup,Mid-Level,2744.56
Web Development,176,4,Enterprise,Senior,22165.19
Web Development,258,1,Mid-Market,Junior,5834.58
SEO,175,3,Enterprise,Junior,4966.36
UI/UX Design,310,3,Enterprise,Mid-Level,16764.21
SEO,155,2,Enterprise,Junior,3881.19
UI/UX Design,163,4,Startup,Junior,4382.68
SEO,125,4,Mid-Market,Mid-Level,7094.59
SEO,439,4,Startup,Senior,23671.11
Data Science,177,2,Startup,Mid-Level,10987.74
SEO,165,4,Startup,Senior,9812.47
Mobile App,21,3,Startup,Mid-Level,2424.87
Data Science,452,1,Startup,Senior,49356.56
SEO,96,3,Mid-Market,Mid-Level,5193.17
Web Development,151,3,Enterprise,Senior,14737.2
Mobile App,109,1,Startup,Mid-Level,5477.53
Mobile App,364,3,Startup,Senior,31177.87
Mobile App,369,2,Mid-Market,Mid-Level,21271.69
Data Science,478,1,Mid-Market,Junior,15797.23
SEO,282,3,Enterprise,Senior,23006.8
SEO,370,5,Mid-Market,Mid-Level,15904.27
Web Development,127,3,Enterprise,Senior,16174.32
Web Development,93,2,Startup,Senior,7559.07
Mobile App,58,4,Startup,Mid-Level,4642.92
Web Development,416,3,Enterprise,Senior,40943.81
Data Science,178,4,Mid-Market,Mid-Level,12764.88
SEO,90,5,Enterprise,Junior,4393.44
Mobile App,466,3,Mid-Market,Senior,47044.71
Web Development,331,1,Startup,Junior,5742.84
Data Science,260,4,Mid-Market,Senior,30689.07
Data Science,445,5,Enterprise,Senior,74953.38
Web Development,464,1,Enterprise,Senior,49287.61
SEO,317,1,Startup,Mid-Level,9894.2
Web Development,459,1,Mid-Market,Junior,10224.77
Mobile App,55,1,Mid-Market,Senior,5635.51
Web Development,103,3,Mid-Market,Mid-Level,5908.46
Data Science,471,3,Startup,Senior,51723.97
Web Development,393,3,Mid-Market,Mid-Level,17845.61
SEO,282,5,Enterprise,Senior,24861.6
UI/UX Design,329,5,Mid-Market,Junior,9152.92
Web Development,404,5,Startup,Junior,8610.4
SEO,191,2,Mid-Market,Senior,13103.45
SEO,395,5,Mid-Market,Mid-Level,16134.18
Data Science,192,3,Enterprise,Senior,26110.9
SEO,381,3,Mid-Market,Mid-Level,15046.87
SEO,66,2,Enterprise,Senior,5936.25
SEO,398,2,Enterprise,Mid-Level,20100.59
SEO,160,5,Startup,Junior,4774.43
Mobile App,394,4,Enterprise,Senior,40283.84
Mobile App,425,2,Enterprise,Junior,13720.43
Data Science,137,1,Startup,Junior,3936.72
Web Development,296,3,Enterprise,Senior,25562.78
SEO,233,1,Startup,Senior,14023.71
Web Development,239,3,Mid-Market,Mid-Level,12663.57
Web Development,412,3,Startup,Mid-Level,17938.62
Data Science,45,2,Enterprise,Junior,2656.03
SEO,28,2,Startup,Mid-Level,1770.65
SEO,290,1,Enterprise,Mid-Level,13853.58
UI/UX Design,29,3,Mid-Market,Senior,4034.46
Web Development,491,1,Startup,Mid-Level,20505.88
Web Development,397,4,Mid-Market,Junior,10045.08
Mobile App,140,1,Enterprise,Mid-Level,10578.03
UI/UX Design,144,5,Enterprise,Junior,6083.54
Mobile App,189,1,Mid-Market,Senior,22983.24
Mobile App,91,5,Startup,Junior,4314.07
Mobile App,171,5,Startup,Mid-Level,9921.15
Data Science,227,5,Enterprise,Senior,36712.96
Data Science,68,4,Mid-Market,Mid-Level,6697.83
Mobile App,173,1,Mid-Market,Senior,16133.07
UI/UX Design,366,1,Startup,Senior,22627.44
Web Development,312,4,Startup,Mid-Level,11622.91
UI/UX Design,87,3,Startup,Mid-Level,4245.37
SEO,69,2,Mid-Market,Senior,5740.41
Data Science,171,1,Startup,Senior,17521.95
Web Development,38,2,Startup,Mid-Level,2304.71
Web Development,119,4,Enterprise,Junior,5022.21
SEO,79,3,Startup,Mid-Level,4010.76
SEO,186,3,Startup,Senior,9870.51
Mobile App,221,3,Mid-Market,Mid-Level,11996.44
Data Science,364,4,Mid-Market,Junior,11904.84
Data Science,165,5,Enterprise,Mid-Level,16963.29
UI/UX Design,422,5,Startup,Senior,23509.35
Mobile App,183,2,Enterprise,Mid-Level,15070.88
Mobile App,477,5,Mid-Market,Senior,44059.48
Mobile App,458,5,Enterprise,Senior,60940.78
Mobile App,261,3,Mid-Market,Mid-Level,14777.85
Data Science,88,3,Enterprise,Senior,15138.09
Data Science,194,2,Enterprise,Senior,26411.63
Mobile App,68,1,Startup,Junior,1936.33
UI/UX Design,127,2,Enterprise,Junior,3686.06
Web Development,245,2,Startup,Junior,4502.04
Web Development,180,4,Startup,Junior,5565.15
UI/UX Design,138,4,Startup,Senior,10389.41
Mobile App,168,2,Startup,Mid-Level,8956.08
Data Science,484,2,Enterprise,Senior,79968.81
Web Development,169,2,Mid-Market,Senior,13908.25
SEO,451,5,Mid-Market,Senior,27591.91
SEO,312,4,Mid-Market,Mid-Level,12896.36
UI/UX Design,162,2,Enterprise,Junior,4420.0
Mobile App,438,3,Startup,Senior,32050.01
Web Development,495,3,Mid-Market,Senior,34830.58
Mobile App,474,5,Enterprise,Junior,17458.1
Web Development,179,5,Startup,Senior,15758.5
UI/UX Design,30,1,Mid-Market,Mid-Level,1782.81
UI/UX Design,157,1,Startup,Senior,9447.53
SEO,476,1,Mid-Market,Senior,30840.4
Mobile App,97,5,Mid-Market,Junior,4118.48
SEO,96,5,Mid-Market,Senior,8383.6
Mobile App,460,5,Startup,Senior,32787.84
SEO,273,3,Enterprise,Mid-Level,14448.13
Data Science,428,5,Startup,Junior,12504.95
Data Science,277,3,Mid-Market,Junior,9087.61
Data Science,339,1,Startup,Mid-Level,19010.84
Data Science,310,1,Enterprise,Senior,49359.46
Web Development,282,1,Startup,Junior,5697.2
Data Science,104,2,Enterprise,Junior,5334.41
UI/UX Design,165,2,Enterprise,Senior,16779.09
UI/UX Design,342,4,Startup,Senior,19832.67
Web Development,61,4,Mid-Market,Junior,3089.04
Data Science,393,4,Enterprise,Senior,66979.42
Data Science,144,2,Startup,Junior,4386.86
Data Science,186,2,Enterprise,Senior,30739.56
SEO,444,4,Mid-Market,Senior,33195.09
Mobile App,260,4,Startup,Mid-Level,11532.44
SEO,478,5,Startup,Senior,30392.65
Mobile App,299,4,Startup,Mid-Level,16168.93
Data Science,207,5,Mid-Market,Senior,22236.77
Data Science,321,3,Enterprise,Junior,16964.84
SEO,38,2,Startup,Junior,1502.03
SEO,87,4,Enterprise,Senior,8892.01
Mobile App,237,2,Enterprise,Senior,32112.86
UI/UX Design,121,2,Mid-Market,Junior,2965.11
Mobile App,61,2,Startup,Senior,5940.65
SEO,307,3,Enterprise,Mid-Level,14727.54
SEO,186,1,Startup,Mid-Level,6939.07
Web Development,128,4,Startup,Mid-Level,6635.69
SEO,55,1,Mid-Market,Mid-Level,2608.66
Web Development,251,1,Startup,Mid-Level,8825.71
UI/UX Design,248,1,Startup,Senior,15951.15
Mobile App,372,2,Enterprise,Senior,47367.2
Mobile App,183,5,Mid-Market,Mid-Level,10986.81
Web Development,406,2,Startup,Senior,26363.6
Mobile App,92,2,Enterprise,Senior,14698.82
SEO,155,1,Mid-Market,Mid-Level,6559.31
Data Science,372,2,Mid-Market,Senior,43948.26
Web Development,398,1,Enterprise,Senior,34155.15
Mobile App,89,5,Enterprise,Senior,12682.54
Web Development,444,4,Enterprise,Mid-Level,24320.82
Web Development,215,1,Enterprise,Senior,18734.56
Data Science,288,5,Enterprise,Junior,14614.38
SEO,68,4,Startup,Junior,2875.83
Web Development,335,3,Startup,Mid-Level,15724.9
Mobile App,149,1,Mid-Market,Junior,3719.24
UI/UX Design,463,1,Startup,Mid-Level,15497.78
Web Development,24,3,Startup,Junior,1830.46
Web Development,447,3,Startup,Junior,8226.55
Data Science,46,1,Enterprise,Junior,2254.15
SEO,179,3,Mid-Market,Mid-Level,7702.57
UI/UX Design,168,2,Mid-Market,Mid-Level,7840.43
Mobile App,283,4,Mid-Market,Senior,31807.67
UI/UX Design,249,4,Mid-Market,Mid-Level,12958.24
Mobile App,219,4,Startup,Junior,5881.31
SEO,69,2,Startup,Junior,1880.52
Mobile App,86,3,Enterprise,Mid-Level,8016.61
Data Science,319,5,Mid-Market,Mid-Level,26262.7
Data Science,400,3,Startup,Mid-Level,21671.9
Data Science,77,1,Startup,Senior,8415.48
Data Science,278,4,Enterprise,Junior,13201.03
UI/UX Design,361,3,Enterprise,Senior,31687.67
SEO,345,5,Enterprise,Senior,33500.77
Mobile App,149,1,Startup,Junior,3404.15
Mobile App,234,2,Startup,Junior,4710.43
Data Science,191,2,Enterprise,Mid-Level,17267.74
Data Science,277,5,Mid-Market,Mid-Level,21272.02
Web Development,121,1,Enterprise,Senior,12321.63
SEO,228,4,Enterprise,Mid-Level,13980.97
UI/UX Design,310,3,Enterprise,Mid-Level,19885.3
Mobile App,373,1,Enterprise,Junior,11692.47
Web Development,490,2,Startup,Junior,8454.1
Web Development,305,5,Mid-Market,Mid-Level,16044.88
Mobile App,135,5,Enterprise,Junior,6627.73
UI/UX Design,283,3,Mid-Market,Mid-Level,12282.4
Web Development,169,5,Mid-Market,Junior,4626.43
Web Development,319,5,Mid-Market,Junior,9999.57
SEO,461,1,Enterprise,Junior,10089.2
UI/UX Design,55,4,Startup,Junior,2777.88
Web Development,472,3,Enterprise,Mid-Level,30009.86
UI/UX Design,352,1,Mid-Market,Senior,25641.1
Mobile App,496,4,Mid-Market,Junior,13391.75
Data Science,306,1,Startup,Mid-Level,15362.27
Web Development,322,1,Enterprise,Mid-Level,15873.61
SEO,330,5,Mid-Market,Junior,7064.89
Mobile App,227,4,Startup,Senior,17486.84
UI/UX Design,125,3,Mid-Market,Junior,3896.46
Mobile App,465,3,Startup,Mid-Level,23043.62
Web Development,177,4,Startup,Senior,12329.1
UI/UX Design,140,5,Enterprise,Mid-Level,7907.62
Data Science,74,2,Mid-Market,Junior,3222.02
Mobile App,419,1,Enterprise,Senior,50586.91
Web Development,31,5,Mid-Market,Mid-Level,3832.75
SEO,164,4,Enterprise,Mid-Level,10408.9
UI/UX Design,419,1,Mid-Market,Mid-Level,17704.79
Mobile App,415,3,Enterprise,Junior,13183.78
Mobile App,155,2,Startup,Senior,11467.89
Data Science,487,3,Mid-Market,Junior,15726.32
Data Science,22,4,Mid-Market,Junior,2600.18
SEO,163,1,Startup,Junior,2571.29
SEO,49,4,Enterprise,Senior,6495.14
Web Development,256,1,Mid-Market,Junior,4913.55
Web Development,298,5,Mid-Market,Junior,8512.32
SEO,367,2,Enterprise,Junior,9332.11
SEO,134,5,Startup,Junior,4200.42
UI/UX Design,123,5,Enterprise,Mid-Level,9443.24
Data Science,137,4,Enterprise,Junior,7189.51
Web Development,24,2,Enterprise,Mid-Level,2427.98
Data Science,487,1,Mid-Market,Junior,15753.99
Data Science,379,1,Startup,Senior,34802.83
SEO,267,3,Startup,Mid-Level,10720.35
UI/UX Design,383,1,Enterprise,Mid-Level,21829.64
Mobile App,340,4,Mid-Market,Mid-Level,22752.28
UI/UX Design,140,5,Enterprise,Mid-Level,10660.45
UI/UX Design,305,5,Mid-Market,Senior,25178.73
Data Science,168,5,Mid-Market,Junior,8238.44
UI/UX Design,103,2,Mid-Market,Mid-Level,5249.89
Web Development,473,1,Mid-Market,Senior,35578.53
Data Science,425,4,Startup,Mid-Level,24984.01
Web Development,485,2,Mid-Market,Junior,9724.02
Mobile App,475,3,Mid-Market,Mid-Level,21759.13
Data Science,250,4,Enterprise,Senior,37675.09
Mobile App,307,4,Enterprise,Junior,11648.21
Data Science,180,4,Startup,Senior,21115.01
SEO,291,5,Enterprise,Junior,8034.97
UI/UX Design,479,4,Mid-Market,Junior,11492.96
SEO,57,1,Enterprise,Junior,1542.06
Mobile App,245,4,Startup,Mid-Level,11610.78
UI/UX Design,161,5,Enterprise,Senior,19753.42
Data Science,311,4,Enterprise,Senior,50747.04
UI/UX Design,170,3,Startup,Senior,11121.99
Web Development,133,3,Startup,Junior,3678.07
UI/UX Design,256,5,Mid-Market,Mid-Level,11617.2
Web Development,85,1,Enterprise,Junior,2636.88
UI/UX Design,380,1,Mid-Market,Senior,27867.28
Web Development,360,2,Enterprise,Mid-Level,24653.29
Mobile App,277,5,Enterprise,Mid-Level,18697.21
SEO,494,4,Mid-Market,Mid-Level,22919.3
Data Science,268,5,Enterprise,Senior,43786.87
UI/UX Design,476,2,Enterprise,Mid-Level,23278.19
SEO,468,5,Enterprise,Mid-Level,21573.41
Data Science,350,5,Startup,Junior,11129.45
Data Science,342,2,Mid-Market,Junior,9877.76
Web Development,199,1,Startup,Mid-Level,7262.73
Mobile App,209,4,Mid-Market,Mid-Level,13003.96
Mobile App,426,2,Mid-Market,Junior,12393.29
SEO,173,3,Enterprise,Junior,5464.88
Mobile App,215,1,Mid-Market,Junior,5328.22
UI/UX Design,485,3,Startup,Senior,28841.85
Mobile App,330,1,Startup,Senior,21800.66
SEO,281,4,Startup,Junior,4863.38
Mobile App,438,4,Mid-Market,Mid-Level,22745.05
UI/UX Design,425,5,Startup,Junior,9307.34
Web Development,446,3,Mid-Market,Senior,39963.33
SEO,162,1,Startup,Mid-Level,5344.5
Web Development,361,4,Startup,Senior,21736.3
Web Development,335,2,Mid-Market,Mid-Level,15002.17
Web Development,120,4,Startup,Senior,9021.19
Data Science,263,2,Enterprise,Mid-Level,23695.15
Data Science,31,1,Mid-Market,Mid-Level,2544.57
Web Development,258,4,Mid-Market,Mid-Level,12446.73
SEO,68,4,Mid-Market,Mid-Level,4533.49
UI/UX Design,61,1,Enterprise,Senior,6340.32
UI/UX Design,185,4,Mid-Market,Senior,14349.21
Mobile App,101,2,Startup,Mid-Level,5495.96
SEO,448,4,Startup,Mid-Level,16353.0
Data Science,310,3,Startup,Senior,35509.91
Web Development,177,5,Mid-Market,Mid-Level,10855.81
Mobile App,235,2,Startup,Mid-Level,11620.28
UI/UX Design,177,3,Mid-Market,Mid-Level,8496.36
Data Science,481,1,Startup,Junior,13232.7
Data Science,153,2,Enterprise,Mid-Level,12988.72
Web Development,86,5,Enterprise,Junior,4940.34
UI/UX Design,355,5,Enterprise,Mid-Level,20653.2
SEO,26,1,Enterprise,Senior,2985.72
Data Science,455,1,Mid-Market,Junior,14952.9
Web Development,33,2,Startup,Junior,1524.42
SEO,92,4,Enterprise,Mid-Level,6203.78
UI/UX Design,418,1,Mid-Market,Mid-Level,18318.81
Data Science,424,4,Enterprise,Junior,19324.97
SEO,182,3,Enterprise,Senior,16039.21
SEO,85,5,Mid-Market,Senior,7989.96
SEO,366,4,Mid-Market,Mid-Level,16357.08
Data Science,149,5,Startup,Senior,14853.86
Data Science,438,4,Startup,Senior,47100.17
Mobile App,485,3,Enterprise,Mid-Level,37321.58
UI/UX Design,225,1,Enterprise,Senior,24059.08
Web Development,295,3,Startup,Mid-Level,11359.98
SEO,485,1,Startup,Junior,6711.55
Mobile App,275,1,Mid-Market,Mid-Level,15654.53
Web Development,285,5,Startup,Junior,7396.89
Mobile App,44,3,Startup,Junior,2381.05
Data Science,469,4,Enterprise,Senior,66094.92
SEO,300,3,Startup,Senior,17307.04
Web Development,272,5,Enterprise,Senior,36457.56
Web Development,329,1,Startup,Mid-Level,13068.57
Web Development,308,5,Mid-Market,Senior,31176.15
Web Development,183,2,Startup,Junior,4233.41
Web Development,114,2,Startup,Senior,9290.01
Mobile App,289,4,Startup,Senior,24883.18
SEO,340,5,Enterprise,Mid-Level,19242.36
Data Science,129,4,Mid-Market,Mid-Level,10929.99
Data Science,355,4,Startup,Junior,10523.7
Data Science,329,2,Enterprise,Mid-Level,32012.45
Data Science,257,4,Mid-Market,Senior,31233.23
Mobile App,400,2,Enterprise,Mid-Level,34374.15
UI/UX Design,455,1,Enterprise,Junior,10158.94
SEO,406,5,Mid-Market,Senior,30592.31
Web Development,444,4,Startup,Junior,10083.41
UI/UX Design,409,2,Enterprise,Mid-Level,22153.52
Data Science,44,3,Enterprise,Mid-Level,4931.28
UI/UX Design,160,4,Startup,Junior,4570.23
SEO,136,1,Startup,Senior,7604.83
Web Development,411,1,Mid-Market,Mid-Level,20499.23
Web Development,424,3,Mid-Market,Mid-Level,20371.16
SEO,471,2,Mid-Market,Senior,36364.71
SEO,44,4,Startup,Mid-Level,2998.93
Data Science,98,2,Enterprise,Junior,4965.78
Web Development,87,1,Enterprise,Mid-Level,6272.38
UI/UX Design,192,2,Mid-Market,Mid-Level,8857.91
Mobile App,463,1,Startup,Senior,37133.54
Mobile App,31,2,Enterprise,Junior,1925.22
SEO,307,3,Mid-Market,Senior,21188.65
Data Science,147,5,Enterprise,Mid-Level,13242.68
Mobile App,115,3,Enterprise,Mid-Level,8993.01
Web Development,111,3,Startup,Senior,8045.09
SEO,160,5,Startup,Senior,11240.15
UI/UX Design,50,5,Enterprise,Senior,6912.6
SEO,353,4,Mid-Market,Junior,7341.61
UI/UX Design,39,4,Startup,Mid-Level,3215.85
SEO,165,3,Enterprise,Senior,14200.26
SEO,496,3,Startup,Mid-Level,16169.09
SEO,335,1,Startup,Junior,4949.93
UI/UX Design,466,1,Startup,Junior,7764.02
UI/UX Design,409,4,Enterprise,Junior,12195.32
SEO,179,4,Mid-Market,Junior,5022.31
Mobile App,368,1,Mid-Market,Mid-Level,19718.27
Data Science,62,1,Mid-Market,Junior,2286.88
Data Science,273,2,Startup,Junior,6981.18
Data Science,149,2,Enterprise,Senior,22177.04
UI/UX Design,79,1,Startup,Junior,1659.7
UI/UX Design,170,2,Mid-Market,Senior,12359.43
Mobile App,486,5,Mid-Market,Junior,15876.65
Data Science,306,4,Enterprise,Junior,13889.25
Data Science,24,4,Startup,Senior,4649.92
SEO,486,1,Mid-Market,Junior,8720.61
UI/UX Design,437,3,Enterprise,Mid-Level,22719.78
Data Science,285,1,Startup,Mid-Level,15794.51
Mobile App,364,2,Startup,Junior,6819.26
Mobile App,149,3,Mid-Market,Mid-Level,9699.22
Data Science,401,2,Mid-Market,Senior,45820.08
UI/UX Design,286,5,Startup,Junior,6159.83
Mobile App,197,2,Startup,Junior,5358.14
SEO,272,5,Mid-Market,Senior,21702.05
Mobile App,434,5,Startup,Senior,39174.45
Web Development,75,2,Mid-Market,Senior,7469.27
Web Development,482,2,Startup,Junior,7759.65
UI/UX Design,476,5,Mid-Market,Senior,35399.48
Data Science,490,3,Enterprise,Senior,75344.83
UI/UX Design,102,5,Mid-Market,Mid-Level,5924.71
UI/UX Design,412,4,Mid-Market,Mid-Level,17756.59
UI/UX Design,118,5,Enterprise,Junior,5110.41
UI/UX Design,168,3,Startup,Mid-Level,7011.78
SEO,348,4,Enterprise,Mid-Level,22410.75
SEO,175,1,Mid-Market,Senior,11676.6
Mobile App,209,1,Startup,Senior,16754.27
Web Development,390,3,Enterprise,Mid-Level,23744.15
UI/UX Design,282,5,Startup,Mid-Level,12310.83
Mobile App,99,2,Startup,Mid-Level,4817.51
Web Development,419,3,Enterprise,Junior,14459.54
Data Science,271,4,Startup,Junior,8423.25
SEO,116,4,Enterprise,Junior,4317.45
Web Development,279,1,Mid-Market,Mid-Level,14272.88
Data Science,279,4,Startup,Mid-Level,15723.74
Web Development,122,3,Mid-Market,Junior,4115.5
SEO,59,4,Mid-Market,Junior,3076.65
SEO,292,3,Startup,Mid-Level,9706.64
Mobile App,120,2,Enterprise,Senior,19050.34
UI/UX Design,378,1,Startup,Junior,6293.9
Web Development,399,4,Mid-Market,Mid-Level,21134.09
Web Development,327,3,Mid-Market,Mid-Level,18224.87
Data Science,240,5,Enterprise,Senior,46045.47
SEO,327,1,Startup,Mid-Level,10164.19
Web Development,439,2,Mid-Market,Mid-Level,22329.29
SEO,143,3,Mid-Market,Junior,4107.48
Web Development,441,2,Mid-Market,Junior,8795.28
Mobile App,250,2,Enterprise,Senior,26803.95
UI/UX Design,197,4,Mid-Market,Senior,16102.37
Web Development,82,4,Mid-Market,Mid-Level,5042.96
SEO,135,3,Startup,Junior,3173.74
Mobile App,210,5,Startup,Senior,19135.02
Web Development,81,3,Mid-Market,Senior,7801.39
Data Science,275,5,Mid-Market,Senior,35032.74
UI/UX Design,26,2,Startup,Mid-Level,1758.02
Web Development,174,1,Enterprise,Junior,5380.56
Mobile App,111,3,Enterprise,Senior,13879.61
Data Science,489,3,Enterprise,Junior,16560.56
Mobile App,33,5,Enterprise,Senior,6533.01
Mobile App,474,2,Enterprise,Senior,65568.02
Data Science,248,2,Enterprise,Junior,10749.21
Mobile App,105,5,Enterprise,Junior,5394.41
Data Science,152,2,Enterprise,Junior,6988.44
Web Development,202,4,Startup,Mid-Level,9590.73
Data Science,405,1,Enterprise,Senior,64250.62
Data Science,81,3,Enterprise,Mid-Level,8419.69
UI/UX Design,238,1,Enterprise,Junior,6339.88
Data Science,424,3,Mid-Market,Senior,43534.88
Data Science,265,4,Startup,Mid-Level,15030.75
Web Development,249,2,Startup,Senior,14856.02
UI/UX Design,98,5,Startup,Mid-Level,6103.34
SEO,168,4,Enterprise,Junior,5743.21
Web Development,157,1,Enterprise,Mid-Level,9854.53
Web Development,490,5,Mid-Market,Senior,36013.56
SEO,333,2,Startup,Senior,19318.34
Data Science,395,4,Enterprise,Senior,72163.86
Mobile App,442,5,Startup,Senior,38385.57
UI/UX Design,408,4,Mid-Market,Junior,9318.17
Mobile App,84,4,Mid-Market,Mid-Level,6822.55
SEO,32,2,Mid-Market,Junior,1525.97
Web Development,232,3,Startup,Junior,5555.76
Web Development,493,5,Enterprise,Junior,16476.34
UI/UX Design,261,2,Enterprise,Senior,24889.55
Web Development,232,4,Mid-Market,Senior,19333.85
Web Development,200,2,Enterprise,Senior,20968.37
UI/UX Design,357,3,Mid-Market,Mid-Level,16733.26
UI/UX Design,192,5,Startup,Senior,13183.81
SEO,179,3,Mid-Market,Mid-Level,7460.36
Web Development,183,1,Startup,Senior,12210.88
Web Development,484,5,Mid-Market,Senior,45508.07
SEO,207,3,Enterprise,Junior,5863.77
Data Science,414,4,Enterprise,Junior,17700.02
Data Science,210,5,Mid-Market,Junior,9001.87
Data Science,424,5,Enterprise,Mid-Level,40018.68
SEO,327,2,Enterprise,Mid-Level,13344.44
Web Development,275,4,Enterprise,Senior,32592.73
SEO,202,1,Startup,Mid-Level,6554.64
SEO,136,3,Enterprise,Senior,12833.5
Data Science,301,2,Startup,Mid-Level,18980.75
Mobile App,215,3,Mid-Market,Mid-Level,14518.29
Web Development,53,1,Enterprise,Mid-Level,3848.16
Data Science,71,1,Enterprise,Junior,3033.55
Mobile App,131,5,Enterprise,Mid-Level,10946.06
Mobile App,271,1,Mid-Market,Junior,7730.72
UI/UX Design,101,3,Startup,Junior,2681.38
Web Development,251,4,Startup,Mid-Level,10901.5
Mobile App,246,4,Enterprise,Senior,34051.1
Data Science,252,5,Mid-Market,Senior,27446.77
UI/UX Design,240,3,Mid-Market,Senior,19184.95
Web Development,455,3,Mid-Market,Mid-Level,23929.19
SEO,432,1,Mid-Market,Senior,24040.68
Data Science,441,3,Mid-Market,Junior,16923.76
Mobile App,61,2,Startup,Senior,5211.71
Mobile App,40,1,Startup,Mid-Level,2327.31
Data Science,61,2,Startup,Senior,6807.05
Mobile App,416,5,Enterprise,Junior,15569.43
UI/UX Design,132,4,Mid-Market,Mid-Level,6659.84
Web Development,124,5,Enterprise,Senior,17021.51
UI/UX Design,211,4,Mid-Market,Mid-Level,10823.98
Mobile App,36,5,Startup,Mid-Level,4307.27
SEO,139,3,Enterprise,Mid-Level,7187.22
Web Development,412,2,Startup,Senior,26890.12
Web Development,444,4,Mid-Market,Mid-Level,22398.64
